,1,,2,,3,,4,,5,,6,,7,,8,,9,,10
Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness
0.861153,0.930351,0.8718,0.888232,0.859755,0.887279,0.929425,0.958299,0.862586,0.885918,0.926885,0.958299,0.928759,0.958299,0.863834,0.885918,0.862015,0.923707,0.858875,0.888232
0.870587,0.930351,0.870736,0.888232,0.858241,0.887279,0.924843,0.958299,0.858516,0.885918,0.933387,0.958299,0.925817,0.958299,0.869329,0.885918,0.8612,0.923707,0.860451,0.888232
0.871827,0.930351,0.87091,0.888232,0.862653,0.887279,0.924165,0.958299,0.856403,0.885918,0.933615,0.958299,0.923049,0.958299,0.862381,0.885918,0.85879,0.923707,0.857586,0.888232
0.86615,0.930351,0.867456,0.888232,0.863979,0.887279,0.930981,0.958299,0.866316,0.885918,0.930725,0.958299,0.924074,0.958299,0.870441,0.885918,0.87031,0.923707,0.850201,0.888232
0.868065,0.930351,0.857503,0.888232,0.86645,0.887279,0.929141,0.958299,0.867756,0.885918,0.936573,0.958299,0.924748,0.958299,0.868169,0.885918,0.863362,0.923707,0.842933,0.888232
0.869088,0.930351,0.862218,0.888232,0.861873,0.887279,0.927992,0.958299,0.866078,0.885918,0.9302,0.958299,0.930491,0.958299,0.870852,0.885918,0.87232,0.923707,0.850841,0.888232
0.861393,0.930351,0.864775,0.888232,0.862131,0.887279,0.926785,0.958299,0.866105,0.885918,0.928853,0.958299,0.929926,0.958299,0.872401,0.885918,0.871691,0.923707,0.859453,0.888232
0.864299,0.930351,0.867683,0.888232,0.867885,0.887279,0.930634,0.958299,0.866766,0.885918,0.923255,0.958299,0.927851,0.958299,0.868441,0.885918,0.863435,0.923707,0.857118,0.888232
0.854298,0.930351,0.869964,0.888232,0.862443,0.887279,0.932299,0.958299,0.862459,0.885918,0.933496,0.958299,0.925282,0.958299,0.862009,0.885918,0.867197,0.923707,0.859759,0.888232
0.856143,0.930351,0.868488,0.888232,0.864908,0.887279,0.929375,0.958299,0.86618,0.885918,0.927858,0.958299,0.931576,0.958299,0.863196,0.885918,0.869243,0.923707,0.850857,0.888232
0.862846,0.930351,0.870184,0.888232,0.862866,0.887279,0.933586,0.958299,0.862949,0.885918,0.930468,0.958299,0.938292,0.958299,0.864117,0.885918,0.870137,0.923707,0.855658,0.888232
0.872714,0.930351,0.872393,0.888232,0.859828,0.887279,0.931882,0.958299,0.862936,0.885918,0.93465,0.958299,0.937669,0.958299,0.86714,0.885918,0.864269,0.923707,0.853911,0.888232
0.860613,0.930351,0.871734,0.888232,0.868108,0.887279,0.937952,0.958299,0.868995,0.885918,0.936236,0.958299,0.942911,0.958299,0.859477,0.885918,0.865912,0.923707,0.843111,0.888232
0.86927,0.930351,0.869771,0.888232,0.862464,0.887279,0.927894,0.958299,0.859685,0.885918,0.93616,0.958299,0.941009,0.958299,0.860936,0.885918,0.8676,0.923707,0.847386,0.888232
